review_id,product_category,product_name,review_text,star_rating,review_date,verified_purchase,text_for_topics,text_for_sentiment,extractive_summary,abstractive_summary
22,Living Room,SoundBar X200 Bluetooth,My SoundBar X200 Bluetooth arrived well packaged and started working immediately. No issues at all.,5,2023-11-11,False,soundbar x200 bluetooth arrive package start work immediately issue,my soundbar x200 bluetooth arrived well packaged and started working immediately . no issues at all .,My SoundBar X200 Bluetooth arrived well packaged and started working immediately.,My SoundBar X200 Bluetooth arrived well packaged and started working immediately. No issues at all.
23,Bedroom Furniture,VelvetTouch Duvet Cover,My VelvetTouch Duvet Cover arrived well packaged and started working immediately. No issues at all.,5,2023-03-17,True,velvettouch duvet cover arrive package start work immediately issue,my velvettouch duvet cover arrived well packaged and started working immediately . no issues at all .,My VelvetTouch Duvet Cover arrived well packaged and started working immediately.,My VelvetTouch Duvet Cover arrived well packaged and started working immediately. No issues at all.
24,Living Room,GlowLight Floor Lamp,"THE GLOWLIGHT FLOOR LAMP IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!",4,2024-12-14,True,glowlight floor lamp easy clean quiet operation look great 5 star,"the glowlight floor lamp is easy to clean , quiet during operation , and looks great . 5 stars !","THE GLOWLIGHT FLOOR LAMP IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT.","THE GLOWLIGHT FLOOR LAMP IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!"
25,Kitchen Appliances,CrispAir Fryer XL,The CrispAir Fryer XL is okay. Does what it says but nothing special. Average quality.,4,2023-09-01,True,crispair fryer xl okay say special average quality,the crispair fryer xl is okay . does what it says but nothing special . average quality .,The CrispAir Fryer XL is okay.,The CrispAir Fryer XL is okay. Does what it says but nothing special. Average quality.
26,Living Room,CozySofa L-Shape Sectional,I was skeptical at first but the CozySofa L-Shape Sectional is genuinely impressive. Fast delivery too.,5,2024-07-05,True,skeptical cozysofa l shape sectional genuinely impressive fast delivery,i was skeptical at first but the cozysofa l - shape sectional is genuinely impressive . fast delivery too .,I was skeptical at first but the CozySofa L-Shape Sectional is genuinely impressive.,I was skeptical at first but the CozySofa L-Shape Sectional is genuinely impressive. Fast delivery too.
27,Living Room,AirPurifier ProMax,The AirPurifier ProMax emits a strange chemical smell when running. Cannot use it safely indoors.,1,2023-10-23,True,airpurifier promax emit strange chemical smell run use safely indoor,the airpurifier promax emits a strange chemical smell when running . can not use it safely indoors .,The AirPurifier ProMax emits a strange chemical smell when running.,The AirPurifier ProMax emits a strange chemical smell when running. Cannot use it safely indoors.
28,Kitchen Appliances,InstaBrew Coffee Maker,Outstanding product. The InstaBrew Coffee Maker has made my daily routine so much easier. Thank you!,4,2023-09-06,True,outstanding product instabrew coffee maker daily routine easy thank,outstanding product . the instabrew coffee maker has made my daily routine so much easier . thank you !,The InstaBrew Coffee Maker has made my daily routine so much easier.,Outstanding product. The InstaBrew Coffee Maker has made my daily routine so much easier. Thank you!
29,Bathroom,AromaSpa Diffuser,Bought the AromaSpa Diffuser as a gift and the recipient loved it. Excellent build quality.,5,2023-05-04,True,buy aromaspa diffuser gift recipient love excellent build quality,bought the aromaspa diffuser as a gift and the recipient loved it . excellent build quality .,Bought the AromaSpa Diffuser as a gift and the recipient loved it.,Bought the AromaSpa Diffuser as a gift and the recipient loved it. Excellent build quality.
30,Bedroom Furniture,NightOwl LED Bedside Lamp,"Five stars. The NightOwl LED Bedside Lamp is well built, easy to set up, and my whole family loves it.",5,2023-10-05,False,star nightowl lead bedside lamp build easy set family love,"five stars . the nightowl led bedside lamp is well built , easy to set up , and my whole family loves it .","The NightOwl LED Bedside Lamp is well built, easy to set up, and my whole family loves it.","Five stars. The NightOwl LED Bedside Lamp is well built, easy to set up, and my whole family loves it."
31,Living Room,SmartTV 55in 4K UHD,Outstanding product. The SmartTV 55in 4K UHD has made my daily routine so much easier. Thank you!,4,2023-10-06,True,outstanding product smarttv 55 4k uhd daily routine easy thank,outstanding product . the smarttv 55 in 4k uhd has made my daily routine so much easier . thank you !,The SmartTV 55in 4K UHD has made my daily routine so much easier.,Outstanding product. The SmartTV 55in 4K UHD has made my daily routine so much easier. Thank you!
32,Living Room,AirPurifier ProMax,Outstanding product. The AirPurifier ProMax has made my daily routine so much easier. Thank you!,5,2023-01-14,True,outstanding product airpurifier promax daily routine easy thank,outstanding product . the airpurifier promax has made my daily routine so much easier . thank you !,The AirPurifier ProMax has made my daily routine so much easier.,Outstanding product. The AirPurifier ProMax has made my daily routine so much easier. Thank you!
33,Kitchen Appliances,TurboBlend Pro 5000,<p>Great product. The TurboBlend Pro 5000 exceeded my expectations in every way. Highly recommend!</p>,4,2023-03-23,False,great product turboblend pro 5000 exceed expectation way highly recommend,great product . the turboblend pro 5000 exceeded my expectations in every way . highly recommend !,<p>Great product.,<p>Great product. The TurboBlend Pro 5000 exceeded my expectations in every way. Highly recommend!</p>
34,Living Room,GlowLight Floor Lamp,The GlowLight Floor Lamp itself is fine but the packaging was completely destroyed on arrival. https://fakeurl.com/ref123,3,2023-11-07,True,glowlight floor lamp fine packaging completely destroy arrival,the glowlight floor lamp itself is fine but the packaging was completely destroyed on arrival .,The GlowLight Floor Lamp itself is fine but the packaging was completely destroyed on arrival.,The GlowLight Floor Lamp itself is fine but the packaging was completely destroyed on arrival. https://fakeurl.com/ref123
35,Bathroom,SoftTouch Luxury Towel Set,<p>Solid quality and great value. The SoftTouch Luxury Towel Set feels premium and performs even better.</p>,5,2023-07-20,True,solid quality great value softtouch luxury towel set feel premium perform well,solid quality and great value . the softtouch luxury towel set feels premium and performs even better .,The SoftTouch Luxury Towel Set feels premium and performs even better.</p>,<p>Solid quality and great value. The SoftTouch Luxury Towel Set feels premium and performs even better.</p>
36,Bedroom Furniture,WoodCraft Bed Frame Queen,OUTSTANDING PRODUCT. THE WOODCRAFT BED FRAME QUEEN HAS MADE MY DAILY ROUTINE SO MUCH EASIER. THANK YOU!,5,2024-03-31,True,outstanding product woodcraft bed frame queen daily routine easy thank,outstanding product . the woodcraft bed frame queen has made my daily routine so much easier . thank you !,THE WOODCRAFT BED FRAME QUEEN HAS MADE,OUTSTANDING PRODUCT. THE WOODCRAFT BED FRAME QUEEN HAS MADE MY DAILY ROUTINE SO MUCH EASIER. THANK YOU!
37,Living Room,CozySofa L-Shape Sectional,"The CozySofa L-Shape Sectional is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123",5,2023-07-24,True,cozysofa l shape sectional easy clean quiet operation look great 5 star,"the cozysofa l - shape sectional is easy to clean , quiet during operation , and looks great . 5 stars !","The CozySofa L-Shape Sectional is easy to clean, quiet during operation, and looks great.","The CozySofa L-Shape Sectional is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123"
38,Bathroom,AromaSpa Diffuser,Outstanding product. The AromaSpa Diffuser has made my daily routine so much easier. Thank you!,4,2023-10-11,True,outstanding product aromaspa diffuser daily routine easy thank,outstanding product . the aromaspa diffuser has made my daily routine so much easier . thank you !,The AromaSpa Diffuser has made my daily routine so much easier.,Outstanding product. The AromaSpa Diffuser has made my daily routine so much easier. Thank you!
39,Living Room,SmartTV 55in 4K UHD,Solid quality and great value. The SmartTV 55in 4K UHD feels premium and performs even better. https://fakeurl.com/ref123,4,2024-08-18,True,solid quality great value smarttv 55 4k uhd feel premium perform well,solid quality and great value . the smarttv 55 in 4k uhd feels premium and performs even better .,The SmartTV 55in 4K UHD feels premium and performs even better.,Solid quality and great value. The SmartTV 55in 4K UHD feels premium and performs even better. https://fakeurl.com/ref123
40,Kitchen Appliances,TurboBlend Pro 5000,"FIVE STARS. THE TURBOBLEND PRO 5000 IS WELL BUILT, EASY TO SET UP, AND MY WHOLE FAMILY LOVES IT.",5,2024-10-01,True,star turboblend pro 5000 build easy set family love,"five stars . the turboblend pro 5000 is well built , easy to set up , and my whole family loves it .","THE TURBOBLEND PRO 5000 IS WELL BUILT, EASY TO SET UP, AND MY WHOLE FAMILY LOVES IT.","FIVE STARS. THE TURBOBLEND PRO 5000 IS WELL BUILT, EASY TO SET UP, AND MY WHOLE FAMILY LOVES IT."
41,Living Room,CozySofa L-Shape Sectional,Absolutely love my CozySofa L-Shape Sectional! Works perfectly and arrived on time. Would buy again.,4,2024-01-24,True,absolutely love cozysofa l shape sectional work perfectly arrive time buy,absolutely love my cozysofa l - shape sectional ! works perfectly and arrived on time . would buy again .,Absolutely love my CozySofa L-Shape Sectional!,Absolutely love my CozySofa L-Shape Sectional! Works perfectly and arrived on time. Would buy again.
42,Bedroom Furniture,CloudPillow Set (2-pack),My CloudPillow Set (2-pack) arrived well packaged and started working immediately. No issues at all.,5,2024-05-21,True,cloudpillow set 2 pack arrive package start work immediately issue,my cloudpillow set ( 2 - pack ) arrived well packaged and started working immediately . no issues at all .,My CloudPillow Set (2-pack) arrived well packaged and started working immediately.,My CloudPillow Set (2-pack) arrived well packaged and started working immediately. No issues at all.
43,Bathroom,MirrorPro LED Vanity Mirror,"The MirrorPro LED Vanity Mirror is easy to clean, quiet during operation, and looks great. 5 stars!",5,2024-04-30,False,mirrorpro lead vanity mirror easy clean quiet operation look great 5 star,"the mirrorpro led vanity mirror is easy to clean , quiet during operation , and looks great . 5 stars !","The MirrorPro LED Vanity Mirror is easy to clean, quiet during operation, and looks great.","The MirrorPro LED Vanity Mirror is easy to clean, quiet during operation, and looks great. 5 stars!"
44,Kitchen Appliances,SliceMaster Food Processor,"THE SLICEMASTER FOOD PROCESSOR IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!",5,2024-06-28,True,slicemaster food processor easy clean quiet operation look great 5 star,"the slicemaster food processor is easy to clean , quiet during operation , and looks great . 5 stars !","THE SLICEMASTER FOOD PROCESSOR IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT.","THE SLICEMASTER FOOD PROCESSOR IS EASY TO CLEAN, QUIET DURING OPERATION, AND LOOKS GREAT. 5 STARS!"
45,Bathroom,AquaFlow Rainfall Showerhead,SOLID QUALITY AND GREAT VALUE. THE AQUAFLOW RAINFALL SHOWERHEAD FEELS PREMIUM AND PERFORMS EVEN BETTER.,5,2023-09-28,True,solid quality great value aquaflow rainfall showerhead feel premium perform well,solid quality and great value . the aquaflow rainfall showerhead feels premium and performs even better .,THE AQUAFLOW RAINFALL SHOWERHEAD FEELS PREMIUM AND PERFORMS EVEN BETTER.,SOLID QUALITY AND GREAT VALUE. THE AQUAFLOW RAINFALL SHOWERHEAD FEELS PREMIUM AND PERFORMS EVEN BETTER.
46,Kitchen Appliances,SliceMaster Food Processor,"Five stars. The SliceMaster Food Processor is well built, easy to set up, and my whole family loves it.",5,2024-05-04,True,star slicemaster food processor build easy set family love,"five stars . the slicemaster food processor is well built , easy to set up , and my whole family loves it .","The SliceMaster Food Processor is well built, easy to set up, and my whole family loves it.","Five stars. The SliceMaster Food Processor is well built, easy to set up, and my whole family loves it."
47,Kitchen Appliances,CrispAir Fryer XL,<p>Delivery took 3 weeks and the CrispAir Fryer XL box was crushed. Product inside was okay though.</p>,2,2023-08-27,True,delivery take 3 week crispair fryer xl box crush product inside okay,delivery took 3 weeks and the crispair fryer xl box was crushed . product inside was okay though .,<p>Delivery took 3 weeks and the CrispAir Fryer XL box was crushed.,<p>Delivery took 3 weeks and the CrispAir Fryer XL box was crushed. Product inside was okay though.</p>
48,Bedroom Furniture,DreamRest Memory Foam Mattress,Great product. The DreamRest Memory Foam Mattress exceeded my expectations in every way. Highly recommend!,4,2023-07-09,True,great product dreamr memory foam mattress exceed expectation way highly recommend,great product . the dreamrest memory foam mattress exceeded my expectations in every way . highly recommend !,The DreamRest Memory Foam Mattress exceeded my expectations in every way.,Great product. The DreamRest Memory Foam Mattress exceeded my expectations in every way. Highly recommend!
49,Living Room,SoundBar X200 Bluetooth,Very disappointed. The SoundBar X200 Bluetooth arrived damaged and smells like chemicals. Returning it.,2,2023-11-16,True,disappointed soundbar x200 bluetooth arrive damage smell like chemical return,very disappointed . the soundbar x200 bluetooth arrived damaged and smells like chemicals . returning it .,The SoundBar X200 Bluetooth arrived damaged and smells like chemicals.,Very disappointed. The SoundBar X200 Bluetooth arrived damaged and smells like chemicals. Returning it.
50,Bedroom Furniture,VelvetTouch Duvet Cover,I was skeptical at first but the VelvetTouch Duvet Cover is genuinely impressive. Fast delivery too.,5,2023-03-13,False,skeptical velvettouch duvet cover genuinely impressive fast delivery,i was skeptical at first but the velvettouch duvet cover is genuinely impressive . fast delivery too .,I was skeptical at first but the VelvetTouch Duvet Cover is genuinely impressive.,I was skeptical at first but the VelvetTouch Duvet Cover is genuinely impressive. Fast delivery too.
51,Bedroom Furniture,VelvetTouch Duvet Cover,Absolutely love my VelvetTouch Duvet Cover! Works perfectly and arrived on time. Would buy again.,5,2023-11-30,True,absolutely love velvettouch duvet cover work perfectly arrive time buy,absolutely love my velvettouch duvet cover ! works perfectly and arrived on time . would buy again .,Absolutely love my VelvetTouch Duvet Cover!,Absolutely love my VelvetTouch Duvet Cover! Works perfectly and arrived on time. Would buy again.
52,Kitchen Appliances,SteamKing Rice Cooker,<p>Absolutely love my SteamKing Rice Cooker! Works perfectly and arrived on time. Would buy again.</p>,5,2023-05-28,False,absolutely love steamking rice cooker work perfectly arrive time buy,absolutely love my steamking rice cooker ! works perfectly and arrived on time . would buy again .,<p>Absolutely love my SteamKing Rice Cooker!,<p>Absolutely love my SteamKing Rice Cooker! Works perfectly and arrived on time. Would buy again.</p>
53,Bathroom,MirrorPro LED Vanity Mirror,"Five stars. The MirrorPro LED Vanity Mirror is well built, easy to set up, and my whole family loves it.",5,2023-04-02,False,star mirrorpro lead vanity mirror build easy set family love,"five stars . the mirrorpro led vanity mirror is well built , easy to set up , and my whole family loves it .","The MirrorPro LED Vanity Mirror is well built, easy to set up, and my whole family loves it.","Five stars. The MirrorPro LED Vanity Mirror is well built, easy to set up, and my whole family loves it."
54,Bedroom Furniture,NightOwl LED Bedside Lamp,MIXED FEELINGS ABOUT THE NIGHTOWL LED BEDSIDE LAMP. SETUP WAS EASY BUT PERFORMANCE IS MEDIOCRE.,3,2023-07-05,True,mixed feeling nightowl lead bedside lamp setup easy performance mediocre,mixed feelings about the nightowl led bedside lamp . setup was easy but performance is mediocre .,MIXED FEELINGS ABOUT THE NIGHTOWL LED BEDSIDE LAMP.,MIXED FEELINGS ABOUT THE NIGHTOWL LED BEDSIDE LAMP. SETUP WAS EASY BUT PERFORMANCE IS MEDIOCRE.
55,Kitchen Appliances,TurboBlend Pro 5000,Absolutely love my TurboBlend Pro 5000! Works perfectly and arrived on time. Would buy again.,5,2023-04-23,True,absolutely love turboblend pro 5000 work perfectly arrive time buy,absolutely love my turboblend pro 5000 ! works perfectly and arrived on time . would buy again .,Absolutely love my TurboBlend Pro 5000!,Absolutely love my TurboBlend Pro 5000! Works perfectly and arrived on time. Would buy again.
56,Living Room,AirPurifier ProMax,"The AirPurifier ProMax is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123",4,2024-12-31,False,airpurifier promax easy clean quiet operation look great 5 star,"the airpurifier promax is easy to clean , quiet during operation , and looks great . 5 stars !","The AirPurifier ProMax is easy to clean, quiet during operation, and looks great.","The AirPurifier ProMax is easy to clean, quiet during operation, and looks great. 5 stars! https://fakeurl.com/ref123"
57,Living Room,GlowLight Floor Lamp,Bought the GlowLight Floor Lamp as a gift and the recipient loved it. Excellent build quality.,5,2023-01-24,False,buy glowlight floor lamp gift recipient love excellent build quality,bought the glowlight floor lamp as a gift and the recipient loved it . excellent build quality .,Bought the GlowLight Floor Lamp as a gift and the recipient loved it.,Bought the GlowLight Floor Lamp as a gift and the recipient loved it. Excellent build quality.
58,Bedroom Furniture,DreamRest Memory Foam Mattress,Bought the DreamRest Memory Foam Mattress as a gift and the recipient loved it. Excellent build quality.,5,2024-07-12,False,buy dreamr memory foam mattress gift recipient love excellent build quality,bought the dreamrest memory foam mattress as a gift and the recipient loved it . excellent build quality .,Bought the DreamRest Memory Foam Mattress as a gift and the recipient loved it.,Bought the DreamRest Memory Foam Mattress as a gift and the recipient loved it. Excellent build quality.
59,Bedroom Furniture,CloudPillow Set (2-pack),Bought the CloudPillow Set (2-pack) as a gift and the recipient loved it. Excellent build quality.,5,2023-02-28,True,buy cloudpillow set 2 pack gift recipient love excellent build quality,bought the cloudpillow set ( 2 - pack ) as a gift and the recipient loved it . excellent build quality .,Bought the CloudPillow Set (2-pack) as a gift and the recipient loved it.,Bought the CloudPillow Set (2-pack) as a gift and the recipient loved it. Excellent build quality.
60,Kitchen Appliances,CrispAir Fryer XL,I WAS SKEPTICAL AT FIRST BUT THE CRISPAIR FRYER XL IS GENUINELY IMPRESSIVE. FAST DELIVERY TOO.,4,2023-02-15,True,skeptical crispair fryer xl genuinely impressive fast delivery,i was skeptical at first but the crispair fryer xl is genuinely impressive . fast delivery too .,BUT THE CRISPAIR FRYER XL IS GENUINELY IMPRESSIVE.,I WAS SKEPTICAL AT FIRST BUT THE CRISPAIR FRYER XL IS GENUINELY IMPRESSIVE. FAST DELIVERY TOO.
61,Living Room,AirPurifier ProMax,Bought the AirPurifier ProMax as a gift and the recipient loved it. Excellent build quality.,4,2024-03-26,True,buy airpurifier promax gift recipient love excellent build quality,bought the airpurifier promax as a gift and the recipient loved it . excellent build quality .,Bought the AirPurifier ProMax as a gift and the recipient loved it.,Bought the AirPurifier ProMax as a gift and the recipient loved it. Excellent build quality.
62,Kitchen Appliances,CrispAir Fryer XL,It is a fine product. The CrispAir Fryer XL gets the job done but I expected better quality.,3,2024-08-30,True,fine product crispair fryer xl get job expect well quality,it is a fine product . the crispair fryer xl gets the job done but i expected better quality .,The CrispAir Fryer XL gets the job done but I expected better quality.,It is a fine product. The CrispAir Fryer XL gets the job done but I expected better quality.
63,Living Room,CozySofa L-Shape Sectional,Outstanding product. The CozySofa L-Shape Sectional has made my daily routine so much easier. Thank you! !!!!!!,5,2023-01-02,True,outstanding product cozysofa l shape sectional daily routine easy thank,outstanding product . the cozysofa l - shape sectional has made my daily routine so much easier . thank you ! ! ! ! ! ! !,The CozySofa L-Shape Sectional has made my daily routine so much easier.,Outstanding product. The CozySofa L-Shape Sectional has made my daily routine so much easier. Thank you! !!!!!!
